clave_municipio,entidad,mpio,hogremjefmuj2015,popnoafmed2015,popden2020,crimen_2018,crimen_2019,tasa_covid
5009,Coahuila de Zaragoza,Francisco I. Madero,2527.6,1240.6,11.965,6.52,11.29,349.705
5010,Coahuila de Zaragoza,Frontera,1980.2,1007.4,162.607,2.42,7.2,307.248
5011,Coahuila de Zaragoza,General Cepeda,1730.2,694.4,3.382,0,0,152.581
5012,Coahuila de Zaragoza,Guerrero,1663.4,2139.1,0.51,87.25,0,168.024
5013,Coahuila de Zaragoza,Hidalgo,3216.8,3680.5,1.071,0,0,116.525
5014,Coahuila de Zaragoza,Jimenez,3114,1679.2,3.125,0,0,63.671
5015,Coahuila de Zaragoza,Juarez,1732.5,1016.5,0.533,54.72,0,145.180
5016,Coahuila de Zaragoza,Lamadrid,2026,1082.9,3.481,0,0,493.952
5017,Coahuila de Zaragoza,Matamoros,2445.3,1981.5,117.901,8.52,10.12,165.199
5018,Coahuila de Zaragoza,Monclova,2263.7,1038.9,160.702,7.98,9.15,392.129
5019,Coahuila de Zaragoza,Morelos,2189.2,764,13.078,0,0,249.205
5020,Coahuila de Zaragoza,Muzquiz,2355.6,783.3,8.811,9.65,16.38,383.360
5021,Coahuila de Zaragoza,Nadadores,1817.2,855.8,7.834,0,0,272.651
5022,Coahuila de Zaragoza,Nava,1981.2,984.1,41.159,9.76,6.43,303.314
5023,Coahuila de Zaragoza,Ocampo,1633.9,1191.8,0.365,0,24.77,146.199
5024,Coahuila de Zaragoza,Parras,2292.4,987.5,4.797,10.37,12.33,432.086
5025,Coahuila de Zaragoza,Piedras Negras,2357.6,1456.6,192.876,11.99,8.3,503.399
5026,Coahuila de Zaragoza,Progreso,1851.9,1062.3,1.743,0,26.89,164.204
5027,Coahuila de Zaragoza,Ramos Arizpe,1992.2,1186.1,23.036,5.38,10.61,196.606
5028,Coahuila de Zaragoza,Sabinas,2424,885.4,27.636,5.79,14.32,533.813
5029,Coahuila de Zaragoza,Sacramento,1727.7,1169.5,14.63,0,0,742.158
5030,Coahuila de Zaragoza,Saltillo,2161.6,1340.3,128.705,3.79,4.23,302.813
5031,Coahuila de Zaragoza,San Buenaventura,2155.3,1255.8,7.018,4.01,0,351.278
5032,Coahuila de Zaragoza,San Juan de Sabinas,2736.7,576.2,57.465,4.5,8.94,547.818
5033,Coahuila de Zaragoza,San Pedro,2770,1292,10.163,10.64,7.02,302.292
5034,Coahuila de Zaragoza,Sierra Mojada,1229.5,1056.1,0.968,0,0,73.643
5035,Coahuila de Zaragoza,Torreon,2791.7,2164.8,370.102,11.44,15.19,308.352
5036,Coahuila de Zaragoza,Viesca,2063.9,1859.9,4.83,0,8.44,63.076
5037,Coahuila de Zaragoza,Villa Union,2002.2,999.7,4.017,15.1,14.98,484.036
5038,Coahuila de Zaragoza,Zaragoza,2235.6,1229.5,1.605,22.25,14.71,337.253
6001,Colima,Armeria,2901.5,736.8,80.872,183.91,154.52,199.611
6002,Colima,Colima,3226.6,1389.4,235.031,47.01,54.61,576.282
6003,Colima,Comala,2944.6,1147,85.246,12.95,8.53,141.829
6004,Colima,Coquimatlan,2878,1024.4,65.075,135.12,84.35,352.777
6005,Colima,Cuauhtemoc,2065.8,714.9,83.781,30.28,36.58,256.481
6006,Colima,Ixtlahuacan,2751.6,349.2,11.997,33.37,49.45,417.901
6007,Colima,Manzanillo,2751,1387.4,121.028,101.91,126.49,412.728
6008,Colima,Minatitlan,2118.5,622.1,47.675,76.12,107.28,235.781
6009,Colima,Tecoman,2665.1,1186.5,144.013,156.04,115.38,397.308
6010,Colima,Villa de Alvarez,3255.2,1302.8,349.585,26.12,33.1,458.684
7001,Chiapas,Acacoyagua,2288.5,1790.2,94.209,26.09,36.12,13.094
7002,Chiapas,Acala,2216.4,951.2,71.578,0,13.81,13.626
7003,Chiapas,Acapetahua,2539.1,2090.2,75.137,3.18,25.15,13.518
7004,Chiapas,Altamirano,1645.2,1577.9,32.286,0,11.18,15.008
7005,Chiapas,Amatan,1324,526.2,224.881,8.51,25.23,6.869
7006,Chiapas,Amatenango de la Frontera,2352.8,1146.7,185.585,0,14.48,14.767
7007,Chiapas,Amatenango del Valle,1568.2,1691.7,47.809,0,10.53,16.699
7008,Chiapas,Angel Albino Corzo,2406.6,1134.2,18.255,3.65,3.62,15.198
7009,Chiapas,Arriaga,3299.6,1663.3,62.994,20.91,20.77,37.276
7010,Chiapas,Bejucal de Ocampo,1746.1,709.9,89.817,0,0,7.208
7011,Chiapas,Bella Vista,1781.2,651.9,176.816,0,4.62,6.810
7012,Chiapas,Berriozabal,2125.9,2418.9,214.724,3.79,18.7,43.355
7013,Chiapas,Bochil,1695.1,1422.4,99.901,8.54,5.62,28.608
7014,Chiapas,El Bosque,1451.2,1567.7,100.718,0,0,3.692
7015,Chiapas,Cacahoatan,2888.8,2375.1,288,22.77,14.35,29.342
7016,Chiapas,Catazaja,2571,805.2,28.372,10.6,5.26,25.781
7017,Chiapas,Cintalapa,2412.1,1591.7,36.635,13.98,11.54,14.329
7018,Chiapas,Coapilla,1975.9,929.4,92.523,0,0,3.986
7019,Chiapas,Comitan de Dominguez,2440.3,1393.9,159.327,3.03,8.98,37.889
7020,Chiapas,La Concordia,1821.6,1203.5,44.852,6.02,1.99,11.081
7021,Chiapas,Copainala,2453.4,1173.4,67.248,4.36,0,8.323
7022,Chiapas,Chalchihuitan,1512.8,1743.1,292.2,13.21,13.04,7.771
7023,Chiapas,Chamula,2634.4,2083.2,1243.5,3.43,4.51,2.412
7024,Chiapas,Chanal,1324.3,529.5,46.209,16.8,0,12.751
7025,Chiapas,Chapultenango,2067.4,1126.4,46.123,12.59,0,8.487
7026,Chiapas,Chenalho,1394.5,1956.5,419.212,27.03,9.7,4.603
7027,Chiapas,Chiapa de Corzo,2347.5,1838.3,123.567,8.71,10.53,52.777
7028,Chiapas,Chiapilla,2217.2,951,70.759,0,0,28.099
7029,Chiapas,Chicoasen,2021.4,1352,65.878,0,37.28,17.841
7030,Chiapas,Chicomuselo,2032.5,1187.3,38.358,2.8,0,5.771
7031,Chiapas,Chilon,1331.7,1687.7,55.125,2.36,6.21,1.428
7032,Chiapas,Escuintla,3031.6,1834.6,149.981,5.99,14.83,9.530
7033,Chiapas,Francisco Leon,1180.7,1121.1,63.553,12.83,0,3.624
7034,Chiapas,Frontera Comalapa,2335.3,1773,112.67,6.38,12.6,8.292
7035,Chiapas,Frontera Hidalgo,2592.5,2478.5,136.037,34.2,20.3,29.223
7036,Chiapas,La Grandeza,2204.3,1173.3,148.096,0,12.6,5.075
7037,Chiapas,Huehuetan,3262.5,2313.7,116.08,23.9,15.77,27.498
7038,Chiapas,Huixtan,1847,823.3,126.934,4.16,0,6.246
7039,Chiapas,Huitiupan,1263.4,742.3,187.201,11.79,15.53,1.192
7040,Chiapas,Huixtla,3376.1,2230.2,138.291,19.4,8.74,86.136
7041,Chiapas,La Independencia,1248.9,697.2,27.235,2.11,0,4.234
7042,Chiapas,Ixhuatan,1873.1,605.7,158.014,8.42,8.31,8.119
7043,Chiapas,Ixtacomitan,2356.9,1941.1,73.564,8.93,8.84,29.719
7044,Chiapas,Ixtapa,1549.4,1405.6,92.649,7.1,0,6.716
7045,Chiapas,Ixtapangajoya,2167.8,729.9,31.264,0,31.64,63.460
7046,Chiapas,Jiquipilas,2166.9,1478.4,34.305,9.76,7.27,10.857
7047,Chiapas,Jitotol,1517.3,2907.9,122.382,0,13.51,13.705
7048,Chiapas,Juarez,2541.8,1185.1,134.611,4.35,4.31,33.153
7049,Chiapas,Larrainzar,1235.6,1257.1,182.801,0,0,8.552
7050,Chiapas,La Libertad,2306.1,3851.5,2.663,58.53,19.41,123.525
7051,Chiapas,Mapastepec,2871.7,2181.2,42.477,19.73,25.37,22.940
7052,Chiapas,Las Margaritas,1468.4,1524.7,26.574,3.13,5.4,9.869
7053,Chiapas,Mazapa de Madero,1745.6,993.7,67.53,0,11.44,24.556
7054,Chiapas,Mazatan,2743.1,1560.9,73.76,6.72,13.32,32.647
7055,Chiapas,Metapa,3446.4,2597.9,57.608,18.03,89.37,53.303
7056,Chiapas,Mitontic,1586.3,991.1,167.744,0,0,12.043
7057,Chiapas,Motozintla,2153.8,1791.6,97.571,0,2.46,18.311
7058,Chiapas,Nicolas Ruiz,1067.1,802.4,34.781,0,0,10.580
7059,Chiapas,Ocosingo,1756.5,1735.2,27.232,7.01,9.08,8.817
7060,Chiapas,Ocotepec,2910.2,1542.2,234.8,7.73,15.29,2.178
7061,Chiapas,Ocozocoautla de Espinosa,1799.1,2120.7,39.321,10.66,14.75,46.951
7062,Chiapas,Ostuacan,2127.6,777.3,19.523,37.63,5.32,14.022
7063,Chiapas,Osumacinta,1777.5,1624.1,18.023,0,0,7.299
7064,Chiapas,Oxchuc,1363.2,1153.2,762.944,10.88,4.31,3.286
7065,Chiapas,Palenque,2223.7,1687.4,117.778,19.61,24.79,29.432
7066,Chiapas,Pantelho,1252.2,1742.8,192.635,8.98,13.31,4.978
7067,Chiapas,Pantepec,1967,930.3,260.979,0,0,3.740
7068,Chiapas,Pichucalco,2674.6,1035.8,29.609,15.52,12.31,73.966
7069,Chiapas,Pijijiapan,2805.2,2308.1,23.029,9.05,14.36,13.410
7070,Chiapas,El Porvenir,1738.5,287.5,100.516,0,0,4.516
7071,Chiapas,Villa Comaltitlan,2676.6,2014.1,49.995,16.44,19.54,15.545
7072,Chiapas,Pueblo Nuevo Solistahuacan,2628.5,947.7,70.562,18.66,36.84,4.553
7073,Chiapas,Rayon,2199,752.8,115.596,9.89,0,3.786
7074,Chiapas,Reforma,3172,1609.2,112.073,4.2,26.99,98.424
7075,Chiapas,Las Rosas,1913,1115.3,123.201,3.62,3.59,9.393
7076,Chiapas,Sabanilla,1179.8,866.2,174.789,10.77,3.55,6.474
7077,Chiapas,Salto de Agua,1294.4,1328.5,49.846,1.58,4.69,6.833
7078,Chiapas,San Cristobal de las Casas,3088.5,2647.3,446.021,7.89,6.42,40.935
7079,Chiapas,San Fernando,1743.8,1743.2,161.988,2.68,7.95,19.796
7080,Chiapas,Siltepec,1447.7,717.8,37.809,5.33,5.27,5.312
7081,Chiapas,Simojovel,1612.3,1531.5,118.423,6.25,8.21,4.163
7082,Chiapas,Sitala,1068.6,1360.2,66.316,0,20.85,1.932
7083,Chiapas,Socoltenango,1662.3,1224.4,24.635,0,0,12.400
7084,Chiapas,Solosuchiapa,2030.2,685.5,23.584,34.65,11.44,14.753
7085,Chiapas,Soyalo,1525.2,426.8,60.838,9.1,0,13.618
7086,Chiapas,Suchiapa,1963.8,1430,72.189,8.24,12.22,16.975
7087,Chiapas,Suchiate,3395,3418.3,137.531,51.6,58.72,14.455
7088,Chiapas,Sunuapa,1916.1,643.9,12.894,0,0,11.534
7089,Chiapas,Tapachula,3368.7,2491.9,412.726,24.38,17.95,123.285
7090,Chiapas,Tapalapa,2231.2,1224.3,142.094,0,0,0.000
7091,Chiapas,Tapilula,2841.2,487.3,107.024,6.87,0,8.452
7092,Chiapas,Tecpatan,2131.7,1385.3,27.826,4.43,4.38,9.242
7093,Chiapas,Tenejapa,1580.7,903.8,486.485,2.29,0,2.096
7094,Chiapas,Teopisca,1961.9,1581,284.477,2.3,4.55,4.659
7096,Chiapas,Tila,1235.6,1724.3,214.115,2.48,4.91,3.392
7097,Chiapas,Tonala,2652.9,1500.7,52.046,5.36,14.9,58.259
7098,Chiapas,Totolapa,1329.7,1142.2,38.769,0,13.7,8.867
7099,Chiapas,La Trinitaria,1818.8,1276.7,45.144,4.63,3.43,4.921
7100,Chiapas,Tumbala,1330,1396.6,53.86,2.84,2.81,4.815
7101,Chiapas,Tuxtla Gutierrez,3433.5,2358.7,1466.376,6.45,4.82,140.660
7102,Chiapas,Tuxtla Chico,2809.4,2026.2,631.138,16.46,16.3,37.691
7103,Chiapas,Tuzantan,2762.9,2119.7,113.067,9.27,0,26.386
7104,Chiapas,Tzimol,1840.8,758.7,517.5,0,0,11.853
7105,Chiapas,Union Juarez,2678,1927.7,222.333,19.58,0,16.687
7106,Chiapas,Venustiano Carranza,1847.4,1415.5,48.203,5.89,4.37,26.764
7107,Chiapas,Villa Corzo,2436.1,1512.3,16.301,4.41,2.91,11.774
7108,Chiapas,Villaflores,2402.5,1529,88.909,6.42,15.45,31.117
7109,Chiapas,Yajalon,2133.7,1701.4,369.587,21.09,23.45,8.402
7110,Chiapas,San Lucas,1848.1,523.5,48.87,0,12.99,11.398
7111,Chiapas,Zinacantan,1719.4,1643.6,265.339,4.72,4.65,2.677
7112,Chiapas,San Juan Cancuc,1093.6,1214.2,234.247,3.07,0,3.174
7113,Chiapas,Aldama,1998.5,1264.9,314.074,93.91,37.11,15.380
7114,Chiapas,Benemerito de las Americas,1930,2199.3,24.109,60.76,94.94,38.421
7115,Chiapas,Maravilla Tenejapa,1369.3,1069.1,35.8,8.01,7.91,0.727
7116,Chiapas,Marques de Comillas,1567.7,1559.8,13.818,26.55,52.39,11.451
7117,Chiapas,Montecristo de Guerrero,1706.7,856.5,44.274,0,12.95,31.074
7118,Chiapas,San Andres Duraznal,1346.2,2653.5,201.567,17.16,67.5,0.000
7119,Chiapas,Santiago el Pinar,940.2,214.4,275.5,0,0,25.157
8001,Chihuahua,Ahumada,3115.4,935.7,0.854,49.13,8.13,105.767
8002,Chihuahua,Aldama,2570.8,684.5,2.648,34.94,73.1,154.598
8003,Chihuahua,Allende,2134,1650.1,3.434,11.02,21.97,279.276
8004,Chihuahua,Aquiles Serdan,3008.4,661.9,37.389,105.99,39.13,65.092
8005,Chihuahua,Ascension,2702.7,2048.8,2.372,11.2,0,134.803
8006,Chihuahua,Bachiniva,2232.6,865.8,3.432,30.81,46.08,62.416
8007,Chihuahua,Balleza,1973.9,2623.6,2.324,60.44,74.79,41.515
8008,Chihuahua,Batopilas,1926.5,1395.2,5.459,37.31,6.15,67.239
8009,Chihuahua,Bocoyna,3142.5,1542.2,8.334,80.96,122.01,305.011
8010,Chihuahua,Buenaventura,0,1062,2.813,15.88,3.94,185.593
8011,Chihuahua,Camargo,2888.9,826.2,3.081,24.16,25.83,158.176
8012,Chihuahua,Carichi,0,1062,2.916,72.57,30.84,38.679
8013,Chihuahua,Casas Grandes,2311.5,1128.4,3.177,38.91,38.55,122.704
8014,Chihuahua,Coronado,1997.1,772.9,1.158,0,0,148.054
8015,Chihuahua,Coyame del Sotol,1993.1,1383.6,0.156,0,0,164.926
8016,Chihuahua,La Cruz,2190,1028.2,3.576,43.48,21.58,101.751
8017,Chihuahua,Cuauhtemoc,3114.1,1235,59.836,51.66,70.15,190.028
8019,Chihuahua,Chihuahua,3255.8,825.9,101.708,39.84,40.34,293.935
8020,Chihuahua,Chinipas,2457.2,1314.5,2.73,10.27,50.81,270.460
8021,Chihuahua,Delicias,3073,1038,448.736,16.54,13.25,199.569
8022,Chihuahua,Dr. Belisario Dominguez,2153,895.2,3.86,31.59,158.44,61.372
8023,Chihuahua,Galeana,2111,2308.6,4.353,12.22,0,120.465
8024,Chihuahua,Santa Isabel,0,1062,3.642,23.26,23.15,121.127
8025,Chihuahua,Gomez Farias,3002.7,275.1,7.118,100.91,20.05,144.807
8026,Chihuahua,Gran Morelos,2511.6,669.1,5.771,0,0,125.583
8027,Chihuahua,Guachochi,2582.2,1372.5,11.561,55.1,73.82,182.670
8028,Chihuahua,Guadalupe,2933.4,1130.5,0.683,70.05,87.46,84.646
8029,Chihuahua,Guadalupe y Calvo,2639.1,1736.5,5.512,61.11,78.89,34.096
8030,Chihuahua,Guazapares,2754.8,639.4,3.82,48.46,28.77,270.836
8031,Chihuahua,Guerrero,2907.4,999.1,6.33,38.52,44.99,117.192
8032,Chihuahua,Hidalgo del Parral,2902.4,822.8,66.622,25.98,20.78,340.832
8033,Chihuahua,Huejotitan,2483.7,514.7,1.796,176.35,87.89,93.458
8034,Chihuahua,Ignacio Zaragoza,2218.4,467.9,2.438,119.37,66.04,54.754
8035,Chihuahua,Janos,1898,1480.8,1.588,36.41,0,75.565
8036,Chihuahua,Jimenez,2892.2,525.9,3.69,28.82,15.4,175.677
8037,Chihuahua,Juarez,3020.3,1472.5,311.601,74.62,91.57,207.443
8038,Chihuahua,Julimes,2115.8,1034.2,1.8,18.1,18.02,364.340
8039,Chihuahua,Lopez,2346.2,589,3.13,93.04,69.61,204.975
8040,Chihuahua,Madera,3051.4,539.8,3.082,81.81,107.42,57.215
8041,Chihuahua,Maguarichi,2505.2,1242.9,1.389,50.85,353.62,161.756
8042,Chihuahua,Manuel Benavides,1642.7,1211.7,0.369,0,0,524.968
8043,Chihuahua,Matachi,2766.8,685.6,3.071,0,0,45.372
8044,Chihuahua,Matamoros,2427.5,631.4,3.786,20.34,0,208.376
8045,Chihuahua,Meoqui,3213.5,1017.2,121.224,16.35,12.17,146.346
8046,Chihuahua,Morelos,2410,2533,5.435,40.83,10.09,91.467
8047,Chihuahua,Moris,2457.8,1069.8,2.003,173.38,51.66,76.087
8048,Chihuahua,Namiquipa,2072.6,1073.3,5.391,46.25,15.33,84.779
8049,Chihuahua,Nonoava,1947.4,543.9,1.024,0,32.89,286.118
8050,Chihuahua,Nuevo Casas Grandes,2941.5,1126.6,31.737,32.47,24.86,221.182
8051,Chihuahua,Ocampo,2429.5,2302.8,3.989,88.36,43.69,142.696
8052,Chihuahua,Ojinaga,2695.3,1789.2,2.582,28.28,3.11,461.061
8053,Chihuahua,Praxedis G. Guerrero,2796.7,993.4,6.318,52.01,104.34,128.405
8054,Chihuahua,Riva Palacio,1048.9,1300,3.184,0,11.4,30.157
8055,Chihuahua,Rosales,2950.8,1036.3,9.773,16.16,37.44,104.382
8056,Chihuahua,Rosario,2003.3,1362.7,1.164,0,0,45.830
8057,Chihuahua,San Francisco de Borja,2523.6,655.4,1.953,0,41.96,81.800
8058,Chihuahua,San Francisco de Conchos,2437.2,303.5,2.306,29.92,0,102.473
8059,Chihuahua,San Francisco del Oro,3105.5,521,7.195,0,39.45,230.825
8060,Chihuahua,Santa Barbara,2451.4,449.6,27.303,17.46,0,243.692
8061,Chihuahua,Satevo,2126.7,614.1,1.562,0,53.49,91.689
8062,Chihuahua,Saucillo,2384.1,954,14.111,2.68,0,137.739
8063,Chihuahua,Temosachic,0,1062,0.992,45.82,30.46,64.277
8064,Chihuahua,El Tule,2859.9,677.7,3.537,0,0,163.934
8065,Chihuahua,Urique,0,1062,4.294,26.8,79.63,93.903
8066,Chihuahua,Uruachi,2331.6,526.7,2.129,21.97,10.88,64.857
8067,Chihuahua,Valle de Zaragoza,2189.7,811.7,1.146,102.14,67.8,104.406
9002,Ciudad de México,Azcapotzalco,3761.7,1588.5,4526.846,12.23,13.29,1277.688
9003,Ciudad de México,Coyoacan,3724.4,2218.7,18434.102,8.77,7.48,882.833
9004,Ciudad de México,Cuajimalpa de Morelos,2660,2021.4,8195.83,7.26,5.7,954.311
9005,Ciudad de México,Gustavo A. Madero,3461.4,2085,21843.797,21.94,18.29,990.758
9006,Ciudad de México,Iztacalco,3683.4,2170.2,5754.886,14.55,11.91,1025.517
9007,Ciudad de México,Iztapalapa,3540.5,2442.8,56489.74,16.58,16.04,873.465
9008,Ciudad de México,La Magdalena Contreras,3326.7,2057.4,2842.75,9.12,12.87,1200.055
9009,Ciudad de México,Milpa Alta,2616.9,1936.4,6618.478,9.43,10.13,1512.940
9010,Ciudad de México,Alvaro Obregon,3315.3,2046.4,6730.525,13.58,15.39,1950.983
9011,Ciudad de México,Tlahuac,3069.7,1671.7,6211.927,12.57,15.3,1429.924
9012,Ciudad de México,Tlalpan,3348.9,2408.3,15180.738,10.64,12.9,1514.935
9013,Ciudad de México,Xochimilco,3389.5,2369.3,1542.78,16.36,8.92,1285.796
9014,Ciudad de México,Benito Juarez,3981.1,1830,5082.082,6.36,3.84,806.764
9015,Ciudad de México,Cuauhtemoc,4100.6,2440.8,1761.304,26.11,21.28,962.585
9016,Ciudad de México,Miguel Hidalgo,3785.6,1787.2,12349.398,12.46,7.45,890.434
9017,Ciudad de México,Venustiano Carranza,4046.3,1908.9,3777.159,18.84,18.2,1094.474
10001,Durango,Canatlan,2709.6,1359.4,6.712,17.45,5.78,287.203
10002,Durango,Canelas,1908.1,1795.9,6.323,68.67,22.71,49.834
10003,Durango,Coneto de Comonfort,2546,735.8,3.082,20.46,60.89,70.983
10004,Durango,Cuencame,2658,1519.7,7.286,10.93,0,199.845
10005,Durango,Durango,3206.9,1513.7,68.584,7.87,8.1,403.682
10006,Durango,General Simon Bolivar,2302.4,1427.3,3.348,33.87,8.4,26.822
10007,Durango,Gomez Palacio,2798.3,1763.8,376.439,8.78,8.43,269.337
10008,Durango,Guadalupe Victoria,2356.4,2263.4,47.836,5.36,7.98,140.241
10009,Durango,Guanacevi,1681.6,3176.3,1.882,9.4,9.35,87.519
10010,Durango,Hidalgo,2278,1529.4,0.765,0,66.85,122.449
10011,Durango,Inde,2126.2,1650.1,2.003,0,17.49,92.730
10012,Durango,Lerdo,2857.5,1592.6,87.389,3.81,8.17,173.765
10013,Durango,Mapimi,2469.2,1549.7,3.779,0,14.27,93.283
10014,Durango,Mezquital,2280.8,3007.3,6.751,29.83,26.82,77.107
10015,Durango,Nazas,3059.9,1238.7,5.344,0,7.59,59.811
10016,Durango,Nombre de Dios,2879,1772.6,12.893,0,14.9,61.779
10017,Durango,Ocampo,2521.1,1737.2,2.495,19.52,0,387.109
10018,Durango,El Oro,2705.6,1619.7,3.002,16.3,8.11,220.666
10019,Durango,Otaez,1864.8,2622.1,5.432,67.52,66.77,41.720
10020,Durango,Panuco de Coronado,2272.2,1281.5,11.941,7.94,7.9,165.802
10021,Durango,PeÃ±on Blanco,2004.2,1134.4,6.085,0,0,61.536
10022,Durango,Poanas,2607.1,1585.1,13.918,3.68,0,98.756
10023,Durango,Pueblo Nuevo,2886.2,1426.7,8.298,31.75,31.41,346.942
10024,Durango,Rodeo,2686.5,975.4,6.91,13.91,6.9,256.125
10025,Durango,San Bernardo,1874.4,1400.9,1.365,30.14,30.19,80.948
10026,Durango,San Dimas,2099.9,1067.4,3.084,4.72,32.69,271.950
10027,Durango,San Juan de Guadalupe,2829.3,2151.3,2.241,0,0,20.281
10028,Durango,San Juan del Rio,2591.5,993.2,9.262,7.54,0,158.527
10029,Durango,San Luis del Cordero,2992.8,1410.7,3.867,0,41.96,93.003
10030,Durango,San Pedro del Gallo,1532.8,1495.3,0.813,0,0,55.181
10031,Durango,Santa Clara,2372.9,1342.9,6.699,0,0,107.871
10032,Durango,Santiago Papasquiaro,2942,1451.7,6.798,11.98,17.8,144.548
10033,Durango,Suchil,2962.7,1349.5,8.406,0,0,116.760
10034,Durango,Tamazula,1991.1,1722.6,5.069,31.96,38.69,64.309
10035,Durango,Tepehuanes,2689.9,1173.6,1.777,64.92,0,118.666
10036,Durango,Tlahualilo,2905.1,1439.2,5.699,4.03,16.01,63.337
10037,Durango,Topia,1575.6,2263.9,5.761,0,10.46,91.380
10038,Durango,Vicente Guerrero,2389.7,3423,54.305,4.39,13.08,189.012
10039,Durango,Nuevo Ideal,2772.4,2069.4,13.723,10.5,13.88,338.507
11001,Guanajuato,Abasolo,2251.6,1309.4,152.959,76.89,115.23,100.648
11002,Guanajuato,Acambaro,3068.4,1007.6,125.275,70.3,133.98,374.558
11003,Guanajuato,San Miguel de Allende,3030.6,1177.4,113.594,19.25,58.95,257.056
11004,Guanajuato,Apaseo el Alto,2842.4,1338.5,167.961,119.29,156.97,298.855
11005,Guanajuato,Apaseo el Grande,3236.3,1522.3,283.878,83.98,82.27,289.289
11006,Guanajuato,Atarjea,3059.4,397.8,16.877,0,33.7,201.475
11007,Guanajuato,Celaya,2912.5,2001.1,942.133,59.12,60.86,366.791
11008,Guanajuato,Manuel Doblado,2793.7,995.3,50.887,15.25,25.29,315.948
11009,Guanajuato,Comonfort,3155.8,1222.4,169.204,40.31,18.81,234.772
11010,Guanajuato,Coroneo,3089.1,687.8,90.179,40.95,24.45,604.708
11011,Guanajuato,Cortazar,2627.5,1515.1,295.142,114.93,37.38,262.537
11012,Guanajuato,Cueramaro,3175.5,1546.3,121.079,87.61,53.58,339.464
11013,Guanajuato,Doctor Mora,2784.6,682.9,117.096,4,11.91,221.042
11014,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,3356.9,1483.2,98.437,36.39,23.03,247.557
